"","id","rate","povertytotalrate","povertymale","povertyedu","povertyover16female","povertyover16male","povertyfemaleunemployed","povertymaleunemployed","povertyage16to17","povertyage18to24","povertyage25to34","povertyage35to44","occupationssales","occupationsservice","employedfemalerate","employedNoHI","unemployedpublicHI","medianagemale","medianagefemale","age15to19Female","age20to24Female","age25to29Female","age30to34Female","age15to19Male","age20to24Male","age25to29Male","age30to34Male","lessHSearning","HSearning","Collegeearning"
"562","19043",51,0.56825525,0.498254096159012,0.64769820971867,0.446102996055017,0.532786011301845,14.5,9.8,0.0013430029546065,0.0746709642761214,0.116304055868923,0.0633897394574268,0.186472061866899,0.154013723995207,0.591210965098205,0.0521929367642463,0.00729242629440567,45.8,48.1,0.0524395804833561,0.0493616051071591,0.0469676242590059,0.0473096215230278,0.0604494382022472,0.0492134831460674,0.0485393258426966,0.0510112359550562,19583,29712,36901
"563","19045",87.2,0.589797026,0.471766314966784,0.576056338028169,0.457858383829823,0.498029577524471,36.7,35.3,0.0045916373583431,0.11137162954279,0.170085971082454,0.109026963657679,0.216571756500243,0.158610338586501,0.562086435070306,0.0440566496020328,0.0176749747767273,40.9,43.7,0.0604349991698489,0.0569483646023576,0.0508882616636228,0.0540428357961149,0.0662457839660988,0.0535760615757156,0.0564732335898988,0.0566894404566289,28648,32816,33460
"564","19047",82.1,0.588520423,0.552489692356486,0.492164179104478,0.39292364990689,0.537360335195531,64.3,22.6,0.0180780209324453,0.190612115445607,0.190294957183635,0.0631144941325722,0.135118228449894,0.138621293631928,0.515105279218798,0.0614299055722735,0.0214797136038186,36.4,38.4,0.0761793826441468,0.0631333721607455,0.0463599301106581,0.0493884682585906,0.0691470691470692,0.0727740727740728,0.0631800631800632,0.0903240903240903,34521,32179,35650
"565","19049",50.4,0.605950627,0.457438108690804,0.517551020408163,0.468252958391653,0.50784663019044,14.3,40.5,0.0023046613634674,0.14563972938815,0.225782469704855,0.144152851089138,0.210398244508658,0.119256088817433,0.684396503626558,0.033393373945073,0.00530246301430855,34.4,36.1,0.0580039873343497,0.0457839802978773,0.0692388882373637,0.0803096047848012,0.0665264582880074,0.0475258055938308,0.0647617666255711,0.0805472961539391,27069,36945,43141
"566","19051",66.9,0.538049059,0.42483660130719,0.508788159111933,0.404066370647348,0.567655994391213,39.1,29.3,0.000933706816059757,0.0793650793650794,0.150326797385621,0.0849673202614379,0.197210197210197,0.147907647907648,0.528584530724549,0.152260638297872,0.00930851063829787,36.2,37.6,0.0726543347448184,0.0463561399598841,0.0514820592823713,0.0570537107198574,0.0788994997726239,0.0563892678490223,0.0552523874488404,0.0509322419281492,49722,32371,35750
"567","19053",25.2,0.561743674,0.505798969072165,0.47054698457223,0.453279164248404,0.508415554265815,20,45.8,0.000644329896907216,0.212628865979381,0.0734536082474227,0.0631443298969072,0.202150537634409,0.207258064516129,0.545004639653572,0.07439293598234,0.0121412803532009,34.6,38.6,0.0836851254035262,0.109759125900174,0.0422150484231438,0.0446982865656817,0.091361712720936,0.141150112023898,0.0440627333831217,0.0460542693552402,18789,27464,30926
"568","19055",46.6,0.582024587,0.506671608598962,0.604972375690608,0.455953128269512,0.520611006486713,27.3,14.1,0.00704225352112676,0.127501853224611,0.152335063009637,0.0956263899184581,0.191772016284551,0.134776087422327,0.639190378410091,0.0342197485054628,0.00494743351886209,43,44.4,0.060683860427121,0.053681876531684,0.0409616057883067,0.0507643832419185,0.0652549200138106,0.056162964667971,0.0453446886868454,0.054436644032685,23942,36074,36943
"569","19057",319.7,0.581873533,0.459511861313869,0.528830036875629,0.453023302032096,0.494559546877329,49.3,41.3,0.00558850364963504,0.114165145985401,0.137659671532847,0.104698905109489,0.214072405302038,0.180384554932677,0.556450628585378,0.0568778280542986,0.0219004524886878,40.7,43.7,0.0602849115196924,0.0522502094937645,0.0511164785330507,0.0583624981515256,0.0659141510899394,0.0548335318179465,0.0578884689069539,0.0563351110650857,17542,28417,31686
"570","19059",11.6,0.567947572,0.468478260869565,0.548844146159582,0.454083791790097,0.517879813796022,22.4,7.6,0,0.110869565217391,0.129347826086957,0.06875,0.213624986396779,0.157362063336598,0.590565259249072,0.061864406779661,0.00688559322033898,46.5,50.7,0.0478866643250205,0.0503453928111462,0.042969207352769,0.0511649689731882,0.0542571931884909,0.0517909571344686,0.0483852025836759,0.057428068115091,22212,31653,31410
"571","19061",94.8,0.597118509,0.471891338328033,0.517288946109987,0.463123918411791,0.498181959594781,37.5,27.8,0.00598285991483857,0.161537217700641,0.196787581523204,0.0899584972780682,0.233230134158927,0.166765896642058,0.618871956648943,0.0366066966516742,0.00815663596773042,36.8,40.2,0.0717925720575645,0.0659015858779404,0.0618655469036651,0.0591544702189245,0.076323726541555,0.0703753351206434,0.0660397117962467,0.0686787868632708,25102,31720,35714
